,Peaks,q1,,,,,,,
5-year,180.31,,,,,,,,
10-year,211.75,,,,,,,,
20-year,241.91,,,,,,,,
50-year,280.95,,,,,,,,
Jan-05,,4.687,,,,,,,
1000-year,406.88,,,,,,,,
,,,,,,,,,
,,,,Jan-05,5-year,10-year,20-year,50-year,1000-year
,,,max check,381.167,180.31,211.75,241.91,280.95,406.88
,,,max,381.167,180.31,211.75,241.91,280.95,406.88
,,,q1,4.687,,,,,
,,DateTime,,,,,,,
,,1/05/2005 8:15,,8.403,6.420465438,6.73079013,7.028480737,7.413820304,8.656797036
,,1/05/2005 8:20,,8.343,6.392476222,6.697790289,6.990674267,7.369791989,8.592699129
,,1/05/2005 8:25,,8.343,6.392476222,6.697790289,6.990674267,7.369791989,8.592699129
,,1/05/2005 8:30,,8.225,6.337430764,6.632890602,6.916321542,7.28320297,8.466639912
,,1/05/2005 8:35,,8.196,6.323902643,6.616940679,6.898048414,7.261922617,8.435659257
,,1/05/2005 8:40,,8.196,6.323902643,6.616940679,6.898048414,7.261922617,8.435659257
,,1/05/2005 8:45,,8.167,6.310374522,6.600990756,6.879775287,7.240642265,8.404678602
,,1/05/2005 8:50,,8.081,6.270256646,6.553690985,6.825586013,7.177535014,8.312804935
,,1/05/2005 8:55,,8.024,6.243666891,6.522341136,6.789669866,7.135708115,8.251911924
,,1/05/2005 9:00,,7.995,6.23013877,6.506391213,6.771396738,7.114427762,8.220931269
,,1/05/2005 9:05,,7.967,6.217077136,6.490991288,6.753753719,7.093881215,8.191018912
,,1/05/2005 9:10,,7.939,6.204015501,6.475591362,6.736110699,7.073334669,8.161106555
,,1/05/2005 9:15,,7.856,6.165297086,6.429941583,6.683811748,7.012428833,8.072437784
,,1/05/2005 9:20,,7.828,6.152235452,6.414541657,6.666168729,6.991882286,8.042525428
,,1/05/2005 9:25,,7.719,6.101388377,6.354591946,6.597486974,6.911897514,7.926080897
,,1/05/2005 9:30,,7.773,6.126578671,6.384291803,6.631512797,6.951522997,7.983769013
,,1/05/2005 9:35,,7.692,6.088793229,6.339742018,6.580474062,6.892084772,7.897236839
,,1/05/2005 9:40,,7.692,6.088793229,6.339742018,6.580474062,6.892084772,7.897236839
,,1/05/2005 9:45,,7.618,6.054273196,6.299042215,6.533846082,6.837783184,7.818182753
,,1/05/2005 9:50,,7.571,6.032348311,6.27319234,6.504231014,6.803294337,7.767972726
,,1/05/2005 9:55,,7.547,6.021152624,6.259992403,6.489108425,6.785683011,7.742333564
,,1/05/2005 10:00,,7.501,5.999694225,6.234692525,6.460123465,6.75192797,7.693191835
,,1/05/2005 10:05,,7.477,5.988498539,6.221492589,6.445000877,6.734316644,7.667552672
,,1/05/2005 10:10,,7.501,5.999694225,6.234692525,6.460123465,6.75192797,7.693191835
,,1/05/2005 10:15,,7.454,5.97776934,6.20884265,6.430508396,6.717439123,7.642981808
,,1/05/2005 10:20,,7.408,5.956310941,6.183542773,6.401523436,6.683684081,7.593840079
,,1/05/2005 10:25,,7.361,5.934386055,6.157692897,6.371908367,6.649195235,7.543630052
,,1/05/2005 10:30,,7.385,5.945581741,6.170892834,6.387030955,6.666806561,7.569269215
,,1/05/2005 10:35,,7.315,5.912927656,6.13239302,6.342923406,6.615440193,7.494488323
,,1/05/2005 10:40,,7.292,5.902198457,6.119743081,6.328430926,6.598562673,7.469917459
,,1/05/2005 10:45,,7.292,5.902198457,6.119743081,6.328430926,6.598562673,7.469917459
,,1/05/2005 10:50,,7.224,5.870477345,6.082343261,6.285583593,6.548663916,7.397273165
,,1/05/2005 10:55,,7.224,5.870477345,6.082343261,6.285583593,6.548663916,7.397273165
,,1/05/2005 11:00,,7.178,5.849018947,6.057043383,6.256598632,6.514908874,7.348131436
,,1/05/2005 11:05,,7.178,5.849018947,6.057043383,6.256598632,6.514908874,7.348131436
,,1/05/2005 11:10,,7.178,5.849018947,6.057043383,6.256598632,6.514908874,7.348131436
,,1/05/2005 11:15,,7.178,5.849018947,6.057043383,6.256598632,6.514908874,7.348131436
